DateTime,zone1,zone2,zone3,zone4,zone5,zone6,zone7
9/14/22 17:10,"132,80","208,89","194,72","93,36","17,10","12,76","191,73"
9/14/22 17:20,"134,60","207,34","196,00","88,13","16,97","12,59","193,18"
9/14/22 17:30,"134,47","204,74","194,53","86,08","16,14","13,17","194,17"
9/14/22 17:40,"142,41","205,66","199,72","89,75","15,96","13,03","192,54"
9/14/22 17:50,"139,19","207,05","196,62","90,48","16,63","12,54","192,42"
9/14/22 18:00,"143,38","208,03","193,99","90,11","18,17","12,64","194,04"
9/14/22 18:10,"142,32","211,97","196,74","92,18","18,60","12,66","191,09"
9/14/22 18:20,"146,11","212,71","196,45","93,57","19,14","12,30","197,13"
9/14/22 18:30,"146,23","215,20","200,82","92,52","19,02","12,49","197,13"
9/14/22 18:40,"148,09","212,28","195,95","91,59","18,85","12,07","190,10"
9/14/22 18:50,"150,00","213,61","197,42","95,07","18,94","12,74","189,67"
9/14/22 19:00,"142,19","204,42","199,01","95,87","18,44","12,74","193,00"
9/14/22 19:10,"141,23","204,77","195,21","95,71","18,08","12,50","189,14"
9/14/22 19:20,"148,90","211,30","196,40","96,21","17,99","12,57","190,60"
9/14/22 19:30,"149,41","212,99","199,28","97,33","18,31","12,70","190,87"
9/14/22 19:40,"139,55","212,37","200,00","96,39","17,97","12,62","182,81"
9/14/22 19:50,"149,40","218,56","208,32","98,67","17,16","13,13","181,17"
9/14/22 20:00,"147,09","216,83","207,75","100,01","17,23","14,61","186,54"
9/14/22 20:10,"139,46","214,56","208,92","101,01","16,97","16,44","179,58"
9/14/22 20:20,"139,99","214,21","207,90","104,98","16,95","17,63","197,37"
9/14/22 20:30,"140,19","210,45","209,47","100,34","16,11","18,25","196,93"
9/14/22 20:40,"141,85","212,24","206,27","98,47","13,94","18,44","201,17"
9/14/22 20:50,"144,32","216,56","208,80","98,25","13,72","18,23","202,36"
9/14/22 21:00,"148,46","205,71","206,42","97,97","13,52","18,09","194,24"
9/14/22 21:10,"148,84","194,97","204,35","97,94","14,10","18,31","192,39"
9/14/22 21:20,"132,84","200,24","205,49","98,05","14,32","17,74","196,81"
9/14/22 21:30,"148,07","205,95","200,29","98,28","14,33","18,14","193,81"
9/14/22 21:40,"148,61","205,12","193,86","97,91","13,22","18,26","198,15"
9/14/22 21:50,"141,91","199,14","192,09","93,48","14,06","18,72","193,48"
9/14/22 22:00,"144,74","197,91","189,05","99,35","14,02","18,29","173,35"
9/14/22 22:10,"145,17","202,09","187,30","104,23","13,93","18,15","168,54"
9/14/22 22:20,"135,87","209,51","191,44","103,98","13,82","17,95","168,68"
9/14/22 22:30,"147,72","210,93","194,96","103,91","13,81","18,16","168,46"
9/14/22 22:40,"147,15","207,83","196,43","103,43","14,03","18,73","161,88"
9/14/22 22:50,"145,67","208,36","196,22","102,62","13,96","18,16","158,85"
9/14/22 23:00,"141,02","208,88","194,89","102,43","14,34","18,21","156,41"
9/14/22 23:10,"145,29","203,22","191,86","98,23","13,77","18,48","153,51"
9/14/22 23:20,"137,95","199,21","185,58","94,94","13,77","18,28","153,16"
9/14/22 23:30,"133,77","194,53","183,51","95,11","10,97","18,38","150,01"
9/14/22 23:40,"133,38","195,53","179,17","93,64","10,90","18,11","150,80"
9/14/22 23:50,"135,29","196,90","179,22","93,69","11,02","17,88","151,87"
9/15/22 0:00,"136,99","192,15","181,42","93,76","10,55","17,62","152,76"
9/15/22 0:10,"134,51","186,36","183,67","90,71","10,79","17,43","149,97"
9/15/22 0:20,"137,88","185,98","181,84","91,58","10,59","16,88","156,09"
9/15/22 0:30,"134,87","184,60","177,84","92,90","9,96","17,27","154,93"
9/15/22 0:40,"133,32","182,06","181,06","91,96","10,50","17,33","151,90"
9/15/22 0:50,"129,75","179,27","178,34","92,06","10,34","16,81","148,32"
9/15/22 1:00,"128,10","179,01","177,03","91,45","9,80","16,86","140,92"
9/15/22 1:10,"126,62","177,26","174,23","90,90","9,65","16,45","143,71"
9/15/22 1:20,"128,87","172,33","171,32","90,87","9,54","16,47","145,19"
9/15/22 1:30,"131,20","173,30","169,86","90,42","9,29","15,95","150,05"
9/15/22 1:40,"128,58","176,58","171,36","90,53","9,37","15,84","148,42"
9/15/22 1:50,"127,38","176,47","168,12","90,47","9,20","15,99","153,88"
9/15/22 2:00,"125,37","177,23","167,22","90,36","9,18","15,59","149,38"
9/15/22 2:10,"124,84","173,95","169,05","90,28","9,30","15,36","146,88"
9/15/22 2:20,"121,00","174,39","166,58","90,25","9,08","15,46","150,92"
9/15/22 2:30,"122,04","173,17","165,60","89,53","8,50","15,80","150,30"
9/15/22 2:40,"122,32","170,46","164,58","89,12","8,58","15,47","149,71"
9/15/22 2:50,"122,73","167,30","165,12","88,43","8,59","14,79","147,98"
9/15/22 3:00,"123,24","165,80","165,31","87,95","8,65","14,58","147,86"
9/15/22 3:10,"123,95","168,28","162,73","88,05","8,45","14,90","151,40"
9/15/22 3:20,"121,37","173,65","164,88","88,64","8,35","14,39","146,00"
9/15/22 3:30,"119,55","166,67","163,91","89,34","8,13","14,53","146,27"
9/15/22 3:40,"118,49","161,66","163,48","88,24","8,15","14,94","143,37"
9/15/22 3:50,"118,76","162,63","162,36","88,53","8,30","14,53","139,37"
9/15/22 4:00,"122,30","161,54","165,39","88,20","8,14","14,23","138,92"
9/15/22 4:10,"123,07","160,81","165,84","88,38","8,04","14,34","143,19"
9/15/22 4:20,"124,40","159,67","164,97","88,46","7,93","14,33","144,03"
9/15/22 4:30,"124,73","159,39","166,15","88,75","8,62","14,63","147,94"
9/15/22 4:40,"123,53","157,50","165,12","89,01","10,31","14,44","149,14"
9/15/22 4:50,"124,82","152,20","164,88","88,82","10,03","14,46","158,00"
9/15/22 5:00,"128,41","154,11","164,23","88,55","8,82","14,34","151,04"
9/15/22 5:10,"129,03","155,75","159,84","85,55","9,29","14,50","145,05"
9/15/22 5:20,"128,75","157,32","161,23","84,32","11,27","14,34","146,78"
9/15/22 5:30,"127,48","155,99","161,22","84,24","12,41","14,19","141,89"
9/15/22 5:40,"124,87","154,89","158,85","84,37","12,65","14,27","144,77"
9/15/22 5:50,"123,26","154,20","158,16","84,81","12,43","13,97","135,07"
9/15/22 6:00,"121,73","156,92","157,60","83,56","13,42","14,20","127,55"
9/15/22 6:10,"121,70","155,86","156,78","83,91","14,68","14,52","130,55"
9/15/22 6:20,"120,75","159,29","163,57","81,88","15,34","14,06","129,77"
9/15/22 6:30,"121,77","160,02","160,30","81,83","16,46","13,96","130,83"
9/15/22 6:40,"119,45","155,28","158,51","81,62","15,99","13,76","130,47"
9/15/22 6:50,"119,09","154,35","158,20","81,92","15,95","13,63","132,06"
9/15/22 7:00,"119,67","148,70","160,31","82,69","16,79","13,96","134,93"
9/15/22 7:10,"120,62","143,88","157,36","83,23","16,74","13,82","134,12"
9/15/22 7:20,"119,71","142,89","154,15","82,90","16,81","13,50","131,92"
9/15/22 7:30,"120,11","140,33","154,26","83,27","17,45","11,97","131,50"
9/15/22 7:40,"122,26","129,84","154,35","85,67","17,49","10,75","131,10"
9/15/22 7:50,"124,07","138,31","152,71","86,01","17,08","10,80","131,38"
9/15/22 8:00,"131,91","125,52","155,98","85,12","17,63","10,53","128,10"
9/15/22 8:10,"131,47","121,35","161,39","85,30","18,10","11,04","130,74"
9/15/22 8:20,"141,62","120,61","166,59","85,96","18,16","11,01","133,17"
9/15/22 8:30,"149,77","119,82","173,92","85,06","18,14","11,06","132,28"
9/15/22 8:40,"149,71","122,40","173,99","85,73","17,88","11,38","138,00"
9/15/22 8:50,"152,79","127,13","178,79","86,84","17,52","11,02","140,36"
9/15/22 9:00,"153,50","137,48","184,79","90,47","17,65","11,56","141,90"
9/15/22 9:10,"157,73","131,60","187,76","93,53","17,72","11,24","149,90"
9/15/22 9:20,"143,26","131,89","186,69","93,33","17,91","9,62","145,57"
9/15/22 9:30,"136,56","137,10","187,04","95,19","17,94","9,68","153,22"
9/15/22 9:40,"133,67","139,36","184,75","95,60","17,47","10,15","146,79"
9/15/22 9:50,"130,17","139,21","182,48","96,45","18,12","11,90","142,94"
9/15/22 10:00,"124,76","142,48","187,89","96,28","19,09","11,64","146,82"
9/15/22 10:10,"124,55","135,38","191,16","97,51","19,62","12,10","151,47"
9/15/22 10:20,"125,13","141,63","189,88","97,19","20,20","11,42","143,88"
9/15/22 10:30,"124,79","144,53","192,87","95,49","20,41","11,64","148,55"
9/15/22 10:40,"122,61","153,40","199,61","93,19","17,27","12,06","145,67"
9/15/22 10:50,"123,97","150,08","197,00","94,35","16,48","11,99","148,97"
9/15/22 11:00,"130,80","158,38","196,98","93,91","16,74","12,17","153,65"
9/15/22 11:10,"133,65","166,69","198,84","91,05","18,52","11,97","143,53"
9/15/22 11:20,"135,62","172,60","203,35","91,30","18,87","12,47","146,21"
9/15/22 11:30,"139,20","171,58","206,96","92,49","18,44","12,94","148,97"
9/15/22 11:40,"139,40","169,04","211,39","91,77","18,05","13,39","146,01"
9/15/22 11:50,"142,41","167,79","203,79","91,77","17,69","13,48","152,87"
9/15/22 12:00,"145,47","171,49","207,24","89,27","17,22","12,78","154,47"
9/15/22 12:10,"143,37","171,24","209,02","87,10","16,95","12,81","162,93"
9/15/22 12:20,"148,51","176,43","199,44","93,00","16,74","13,25","161,51"
9/15/22 12:30,"149,82","171,66","201,77","93,82","16,83","12,89","166,33"
9/15/22 12:40,"148,91","173,33","201,18","93,78","15,68","12,72","173,37"
9/15/22 12:50,"143,22","172,88","199,35","94,30","15,32","13,14","175,89"
9/15/22 13:00,"142,28","181,44","197,38","93,46","15,11","13,22","175,80"
9/15/22 13:10,"141,48","179,50","196,00","93,44","14,47","13,67","179,20"
9/15/22 13:20,"144,69","179,13","191,73","94,58","14,28","14,26","174,28"
9/15/22 13:30,"147,31","175,42","191,83","94,27","13,27","14,00","169,30"
